"name","category","location","price","discounted_price","currency","description"
"Luxury Beachfront Resort","Hotel","Maldives","1000.00","","USD","Experience ultimate luxury in a beachfront resort with private villas and personalized service."
"City Center Boutique Hotel","Hotel","Paris","250.00","","EUR","Charming boutique hotel located in the heart of Paris, offering stylish rooms and modern amenities."
"Mountain Cabin Retreat","Cabin","Swiss Alps","300.00","","CHF","Escape to a cozy cabin nestled in the Swiss Alps, surrounded by breathtaking mountain views."
"Luxury Safari Lodge","Lodge","Serengeti National Park","1500.00","1400.00","USD","Embark on an unforgettable safari adventure in a luxury lodge overlooking the vast Serengeti plains."
"Private Island Villa","Villa","Bahamas","5000.00","","USD","Indulge in the ultimate luxury of a private island villa in the crystal-clear waters of the Bahamas."
"Historic Bed and Breakfast","Bed and Breakfast","Rome","150.00","","EUR","Experience the charm of Rome in a historic bed and breakfast located near iconic landmarks."
"Family-Friendly Resort","Resort","Orlando","300.00","","USD","Fun-filled resort in Orlando offering spacious accommodations and exciting amenities for families."
"Mountain Ski Chalet","Chalet","Aspen","800.00","","USD","Cozy ski chalet nestled in the mountains of Aspen, perfect for winter sports enthusiasts."
"Budget Hostel","Hostel","Bangkok","20.00","","USD","Affordable hostel in the vibrant city of Bangkok, offering comfortable dormitory-style accommodations."
"Seaside Boutique Hotel","Hotel","Amalfi Coast","350.00","275.00","EUR","Experience luxury by the sea at this boutique hotel on the stunning Amalfi Coast."
"Rustic Mountain Lodge","Lodge","Rocky Mountains","600.00","","USD","Get back to nature and unwind in a cozy lodge nestled in the breathtaking Rocky Mountains."
"Tropical Beach Bungalow","Bungalow","Hawaii","450.00","","USD","Escape to paradise and relax in a charming beach bungalow on the beautiful islands of Hawaii."
"Riverside Cabin Retreat","Cabin","Canadian Rockies","250.00","","CAD","Find peace and tranquility in a secluded cabin retreat along the stunning riverside of the Canadian Rockies."
"Urban Loft Apartment","Apartment","New York City","200.00","","USD","Live like a local in a stylish loft apartment in the heart of bustling New York City."
"Beachfront Condo","Condo","Miami","300.00","","USD","Wake up to breathtaking ocean views in a luxurious beachfront condo in vibrant Miami."
"Charming Countryside Cottage","Cottage","Cotswolds","150.00","","GBP","Escape the hustle and bustle and unwind in a charming countryside cottage in the picturesque Cotswolds."
"Historic Manor House","Manor House","Scotland","1000.00","950.00","GBP","Step back in time and experience the grandeur of a historic manor house in the stunning Scottish countryside."
"Luxury Ski Resort","Resort","Whistler","1200.00","","CAD","Indulge in world-class skiing and luxurious amenities at a top-rated ski resort in breathtaking Whistler."
"Rooftop Penthouse Suite","Suite","Sydney","1500.00","","AUD","Enjoy panoramic views of the iconic Sydney skyline from a lavish rooftop penthouse suite."
"Coastal Beach House","House","California","800.00","","USD","Escape to a coastal paradise and relax in a spacious beach house along the stunning California coastline."
"Quaint Lakeside Cabin","Cabin","Lake District","200.00","","GBP","Experience the beauty of the Lake District in a quaint lakeside cabin surrounded by nature's tranquility."
"Rustic Farmhouse Retreat","Farmhouse","Tuscany","400.00","","EUR","Immerse yourself in the charm of the Tuscan countryside in a rustic farmhouse retreat."
"Luxury Spa Resort","Resort","Bali","1800.00","","USD","Rejuvenate your body and soul at a luxurious spa resort nestled in the serene landscapes of Bali."
"Historic Castle Hotel","Hotel","Scotland","1500.00","1250.00","GBP","Live like royalty in a historic castle hotel set amidst the breathtaking landscapes of Scotland."
"Safari Tent Experience","Tent","Kruger National Park","300.00","200.00","ZAR","Embark on an unforgettable safari adventure and sleep under the stars in a luxury safari tent."
"Tropical Paradise Resort","Resort","Maldives","2000.00","","USD","Experience ultimate luxury in a tropical paradise resort surrounded by pristine beaches and crystal-clear waters."
"Alpine Retreat Chalet","Chalet","Swiss Alps","1500.00","","EUR","Escape to an alpine retreat chalet nestled in the breathtaking Swiss Alps, offering stunning mountain views and cozy accommodations."
"Oceanfront Villa","Villa","Maui","3000.00","2700.00","USD","Indulge in the ultimate luxury of an oceanfront villa with panoramic views of the Pacific Ocean and private beach access."
"Rustic Countryside Cottage","Cottage","Cotswolds","800.00","","GBP","Unwind in a rustic countryside cottage surrounded by rolling hills and quaint villages of the Cotswolds."
"Historic Castle Hotel","Hotel","Ireland","2500.00","","EUR","Live like royalty in a historic castle hotel set amidst the lush green landscapes of Ireland, with elegant interiors and impeccable service."
"Beachfront Bungalow","Bungalow","Phuket","4000.00","3800.00","THB","Relax in a beachfront bungalow overlooking the azure waters of the Andaman Sea, with direct beach access and personalized service."
"City Center Loft","Apartment","San Francisco","1800.00","","USD","Experience urban living in a chic city center loft apartment, with modern amenities and panoramic city views."
"Mountain Hideaway Cabin","Cabin","Rocky Mountains","1000.00","","USD","Find solace in a mountain hideaway cabin nestled among towering pines and rugged peaks of the Rocky Mountains."
